ISIN,Ticker,BCLASS3,Country,OAS,OAD,5Y,10Y,20Y,30Y,Mat,Cpn,Close,rich/cheap
US06051GHM42,BAC,Banking,US,124.68,7.7,1.14,6.47,0,0,3.87,4.271,103.09,neither
Similar bonds to US06051GHM42,,,,,,,,,,,,,
US06051GFX25,BAC,Banking,US,103.41,6.17,3.55,2.57,0,0,3.58,3.5,99.52,neither
US46625HJX98,JPM,Banking,US,80.64,4.65,4.39,0.19,0,0,3.28,3.625,101.64,rich
US61746BDZ67,MS,Banking,US,122.86,5.99,3.71,2.21,0,0,3.76,3.875,100.67,neither
US06051GFP90,BAC,Banking,US,131.2,5.32,4.07,1.17,0,0,3.82,3.95,100.72,neither
US46647PAF36,JPM,Banking,US,112.92,6.95,2.61,4.28,0,0,3.71,3.54,98.8,rich
US46647PAM86,JPM,Banking,US,116.43,7.54,1.77,5.72,0,0,3.8,3.509,97.82,neither
US6174468G77,MS,Banking,US,133.3,7.98,0.47,7.42,0,0,3.98,4.431,103.66,neither
US06051GGF00,BAC,Banking,US,121.34,6.73,2.91,3.75,0,0,3.79,3.824,100.26,neither
US172967LW98,C,Banking,US,127.4,7.49,1.48,5.92,0.01,0,3.9,4.075,101.31,neither
