ISIN,Ticker,BCLASS3,Country,OAS,OAD,5Y,10Y,20Y,30Y,Mat,Cpn,Close,rich/cheap
US46647PAY25,JPM,Banking,US,91.46,4.26,3.88,0,0,0,3.37,4.023,102.81,neither
Similar bonds to US46647PAY25,,,,,,,,,,,,,
US46647PAP18,JPM,Banking,US,86.07,3.76,2.62,0.01,0,0,3.34,3.559,100.83,neither
US06051GFB05,BAC,Banking,US,82.35,4.38,4.15,0,0,0,3.29,4.125,103.74,neither
US025816BR90,AXP,Banking,US,89.69,5.07,4.38,0.66,0,0,3.39,3,98.8,neither
US46625HJX98,JPM,Banking,US,80.64,4.65,4.39,0.19,0,0,3.28,3.625,101.64,rich
US06051GHL68,BAC,Banking,US,94.03,3.98,3.14,0.01,0,0,3.39,3.864,101.89,neither
US06051GFX25,BAC,Banking,US,103.41,6.17,3.55,2.57,0,0,3.58,3.5,99.52,neither
US867914BS12,STI,Banking,US,81.2,5.29,4.13,1.08,0,0,3.34,4,103.63,rich
US172967JP75,C,Banking,US,97.06,5.45,4.17,1.24,0,0,3.48,3.3,99.03,neither
US38148LAC00,GS,Banking,US,116.79,5.16,4.29,0.81,0,0,3.69,3.5,99.02,neither
