BCLASS3,Country,Bid Spread,Cur Yld,G Spd,Years to Mat,OAS,OAD,Amt Out,Cpn,Excess Rtn,ISIN,Ticker,Mty,Iss Dt,Px Close,KRD 6M,KRD 2Y,KRD 5Y,KRD 10Y,KRD 20Y,KRD 30Y,S&P Rating Num,Accrued Int (%),Yield to Mat,Class - Detail - Code,date
REITs,United States,157.0,4.24,155.0,10.12,153.17,8.14,350000.0,4.2,-0.05,US431282AR39,HIW,2029-04-15,2019-03-07,98.98,0.01,0.07,0.34,7.66,0.06,0.0,10.0,0.0,4.32,BAHC,2019-03-01
REITs,United States,132.0,3.99,130.0,10.04,128.78,8.17,300000.0,3.95,-0.18,US59523UAQ04,MAA,2029-03-15,2019-03-07,98.94,0.01,0.06,0.35,7.74,0.02,0.0,9.0,0.0,4.08,BAHA,2019-03-01
Banking,Japan,91.0,3.42,87.0,5.01,86.3,4.58,1500000.0,3.407,-0.02,US606822BD53,MUFG,2024-03-07,2019-03-07,99.75,0.0,0.04,4.51,0.02,0.0,0.0,8.0,0.0,3.46,BAA,2019-03-01
Banking,Japan,108.0,4.18,121.0,20.01,122.43,13.66,500000.0,4.1530000000000005,-0.29,US606822BE37,MUFG,2039-03-07,2019-03-07,99.4,0.01,0.06,0.23,0.74,12.6,0.02,8.0,0.0,4.2,BAA,2019-03-01
Banking,Japan,72.0,3.22,71.0,3.01,69.72,2.85,1500000.0,3.218,-0.01,US606822BG84,MUFG,2022-03-07,2019-03-07,99.89,0.0,1.88,0.97,0.0,0.0,0.0,8.0,0.0,3.26,BAA,2019-03-01
Banking,Japan,101.0,3.75,99.0,10.01,98.68,8.33,1500000.0,3.741,-0.07,US606822BH67,MUFG,2029-03-07,2019-03-07,99.81,0.0,0.05,0.19,8.07,0.01,0.0,8.0,0.0,3.76,BAA,2019-03-01
REITs,United States,157.0,4.23,155.0,10.11,153.67,8.13,350000.0,4.2,-0.03,US431282AR39,HIW,2029-04-15,2019-03-07,99.24,0.01,0.07,0.35,7.64,0.05,0.0,10.0,0.0,4.29,BAHC,2019-03-04
REITs,United States,132.0,3.98,130.0,10.03,128.88,8.17,300000.0,3.95,0.0,US59523UAQ04,MAA,2029-03-15,2019-03-07,99.23,0.01,0.06,0.36,7.72,0.01,0.0,9.0,0.0,4.04,BAHA,2019-03-04
Banking,Japan,89.0,3.41,86.0,5.01,85.63,4.57,1500000.0,3.407,0.04,US606822BD53,MUFG,2024-03-07,2019-03-07,99.94,0.0,0.04,4.51,0.01,0.0,0.0,8.0,0.0,3.42,BAA,2019-03-04
Banking,Japan,107.0,4.15,120.0,20.01,122.22,13.67,500000.0,4.1530000000000005,0.04,US606822BE37,MUFG,2039-03-07,2019-03-07,99.98,0.01,0.06,0.23,0.76,12.59,0.01,8.0,0.0,4.15,BAA,2019-03-04
Banking,Japan,73.0,3.22,73.0,3.01,71.92,2.84,1500000.0,3.218,-0.06,US606822BG84,MUFG,2022-03-07,2019-03-07,99.9,0.0,1.89,0.95,0.0,0.0,0.0,8.0,0.0,3.25,BAA,2019-03-04
Banking,Japan,101.0,3.74,99.0,10.01,99.26,8.32,1500000.0,3.741,-0.04,US606822BH67,MUFG,2029-03-07,2019-03-07,100.07,0.01,0.05,0.19,8.07,0.01,0.0,8.0,0.0,3.73,BAA,2019-03-04
REITs,United States,157.0,4.23,155.0,10.11,153.75,8.13,350000.0,4.2,0.0,US431282AR39,HIW,2029-04-15,2019-03-07,99.25,0.01,0.07,0.35,7.64,0.05,0.0,10.0,0.0,4.29,BAHC,2019-03-05
